property_name,room_count,room_type,city,country,locality,state
Hotel White Yak,25,Deluxe,Darjeeling,INDIA,Cooch Behar Road,WestBengal
Hotel Seetharam,20,Executive Double Room,Coimbatore,INDIA,Barathiar Road,TamilNadu
Hotel Valley Plaza,18,Deluxe Room,Dehradun,INDIA,Rajpur Road,Uttaranchal
Dubare Elephant Camp,15,Cottage,Coorg,INDIA,Kushalnagar,Karnataka
Haryali Dhani,17,Deluxe Room,Dechu,INDIA,Manwar,Rajasthan
Hotel Crystal Court,19,Deluxe AC,Coorg,INDIA,Madikeri,Karnataka
Hotel Kailash Residency,20,Deluxe Ac Room,Dehradun,INDIA,Haridwar By Pass Road,Uttaranchal
Hotel Vijai Paradise,42,Business Class Non A/c,Coimbatore,INDIA,City Centre,TamilNadu
Venkatadri Homestay,5,Deluxe Room,Coorg,INDIA,Madikeri,Karnataka
Chida Homestay,2,Homestay,Coorg,INDIA,Madikeri,Karnataka
Vasantham Lodging Hotel,50,Standard Non A/c,Coimbatore,INDIA,City Centre,TamilNadu
Vista Rooms at Kushalnagar,28,Standard Room,Coorg,INDIA,Kushalnagar,Karnataka
Four Points by Sheraton Dehradun,65,Comfort Room,Dehradun,INDIA,Rajpur Road,Uttaranchal
Hotel Yuma,39,Comfort,Darjeeling,INDIA,Dr. SM Das/Ladenla Road,WestBengal
Corbett View Resort,38,AC Huts,Corbett,INDIA,Dhela Village,Uttaranchal
Tea Nest,6,Green,Coonoor,INDIA,Coonoor,TamilNadu
Hotel The Sandstone,22,Deluxe Room AC,Dehradun,INDIA,Near ISBT Bus Stand,Uttaranchal
Hotel Nishima,5,Standard Room Non AC,Dehradun,INDIA,Railway Station,Uttaranchal
Hotel Meera Chittorgarh,40,Standard Non Ac Room,Chittorgarh,INDIA,Chittorgarh,Rajasthan
Hotel Modi Inn Rockside,20,Deluxe,Dalhousie,INDIA,Subhash Chowk,HimachalPradesh
Mesabel Hotel,20,Standard Room AC,Coimbatore,INDIA,City Centre,TamilNadu
RNB 1589 Chittorgarh,27,Premium Room,Chittorgarh,INDIA,Chittorgarh,Rajasthan
Amogha International Hotel,37,Standard Non A/c Rom,Chitradurga,INDIA,National Highway 4,Karnataka
The Orbis,48,Deluxe Room,Coimbatore,INDIA,Avinashi Road,TamilNadu
Hotel Sakoon,11,Deluxe Room,Dehradun,INDIA,Rajpur Road,Uttaranchal
Hotel Grace Inn,7,Deluxe Room,Darjeeling,INDIA,Gandhi Marg,WestBengal
Coffee Terrain Homestay,3,Standard Room,Chikmaglur,INDIA,Mallandur Road,Karnataka
Budget Inn Tiger Plaza-Service Apartment,52,1 BK,Dahej,INDIA,,Gujarat
Hiy Rooms in Ramnagar,37,Standard Room,Coimbatore,INDIA,City Centre,TamilNadu
The Blue Lagoon Hotel,20,Deluxe,Cuttack,INDIA,Badambadi Bus Station,Orissa
Hotel Central Park Inn,26,Executive Room,Dehradun,INDIA,Rajpur Road,Uttaranchal
Hotel Venition Inn,21,Deluxe Room,Coimbatore,INDIA,City Centre,TamilNadu
