property_name,room_count,room_type,city,country,locality,state
Hotel Princes Palace Indore,31,A/c Super Deluxe Room,Indore,INDIA,South Tukoganj,MadhyaPradesh
Vista Rooms at Bani Park,14,Standard Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Hotel Imperial Jaisalmer,16,Executive Room,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Sai Residency,12,Superior Deluxe,Jaipur,INDIA,Raja Park,Rajasthan
Alpine Glow Residency-Crest,29,A/C Deluxe,Hyderabad,INDIA,Banjara Hills,AndhraPradesh
Hotel Meenakshi Palace,50,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Naila Bagh Palace,15,Deluxe Room,Jaipur,INDIA,Raja Park,Rajasthan
Haridwar Residency,0,AC Room,Hyderabad,INDIA,Nampally,AndhraPradesh
OYO Rooms Hathroi Fort Gopalbari,15,Standard Room AC,Jaipur,INDIA,MI Road,Rajasthan
Swagath Residency Kondapur,37,Deluxe Room,Hyderabad,INDIA,Hitech City,AndhraPradesh
LMB Hotel,33,Executive Room,Jaipur,INDIA,Old City,Rajasthan
Jypore Saffron,24,Standard Room,Jaipur,INDIA,Ajmer Road,Rajasthan
Hotel Fortune Residency,28,Non A/C Executive Room,Hyderabad,INDIA,Nampally,AndhraPradesh
Vista Rooms near Alexander Road,33,Standard Room,Hyderabad,INDIA,Secunderabad,AndhraPradesh
OYO Rooms Railway Station NBC Factory,15,Standard Room AC,Jaipur,INDIA,Bani Park,Rajasthan
OYO Rooms Electronic Market Riddhi Siddhi,15,Standard Room AC,Jaipur,INDIA,Mansarovar,Rajasthan
Hotel Ajmera,22,Standard Room Non AC,Jaipur,INDIA,Tonk Road,Rajasthan
Hotel Asian Inn,32,Executive Room Non AC,Hyderabad,INDIA,Nampally,AndhraPradesh
Chokhi Dhani Resort,100,Cottage Room,Jaipur,INDIA,Airport Zone,Rajasthan
Colonels Homestead,5,Double Room,Jaipur,INDIA,Vaishali Nagar,Rajasthan
OYO Rooms Railway Station Hathroi Fort,19,Standard Room AC,Jaipur,INDIA,Bani Park,Rajasthan
Treebo Sravya Residency,28,Standard Room,Hyderabad,INDIA,Hitech City,AndhraPradesh
Rawla Rawatsar A Luxury Homestay,8,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Seven Seas,20,Deluxe Room,Jaipur,INDIA,Vaishali Nagar,Rajasthan
OYO Rooms Heritage City Subhash Chowk,10,Standard Room AC,Jaipur,INDIA,Lake Jal Mahal,Rajasthan
OYO Rooms SP Road Begumpet,15,Standard Room A/C,Hyderabad,INDIA,Begumpet,AndhraPradesh
Hotel Mewar,21,Semi Deluxe Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Hotel Lake Palace,45,Deluxe Room,Jaipur,INDIA,Lake Jal Mahal,Rajasthan
Pink Palace Guest House,20,Deluxe Ac Room,Jaipur,INDIA,Kukas(Delhi-Jaipur NH8),Rajasthan
Abhivaadan Boutique Serviced Apartment,13,Executive Room,Hyderabad,INDIA,Hitech City,AndhraPradesh
Hotel Rathi Palace,11,Dormitory Bed,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
OYO Premium Airport Extension,15,Standard Room AC,Jaipur,INDIA,Airport Zone,Rajasthan
OOYO Rooms Kanti Nagar Sindhi Camp,15,Standard Room AC,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Hotel Rishi,21,Super Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Oasis India Camps By Akupara,30,Swiss Deluxe Luxury Tents,Jaisalmer,INDIA,Sam Sand Dunes,Rajasthan
The Nangis Pride,18,Executive,Jaipur,INDIA,Airport Zone,Rajasthan
OYO Rooms Rajendra Nagar Behind D Mart,0,Standard Room AC,Indore,INDIA,AB Road,MadhyaPradesh
Hotel The Ashoka,24,Deluxe Room,Indore,INDIA,Vijay Nagar,MadhyaPradesh
Radoli House,20,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Serenity Elite,16,Deluxe Room,Hyderabad,INDIA,Hitech City,AndhraPradesh
Hotel Surya Garh,20,Deluxe Room,Jaipur,INDIA,Amer Fort,Rajasthan
Hari Mahal Palace-Heritage Hotel,43,Deluxe Room,Jaipur,INDIA,Civil Lines,Rajasthan
Aditya Park-A Sarovar Portico Hotel,88,Executive Room,Hyderabad,INDIA,Ameerpet,AndhraPradesh
Umaid Mahal Heritage Castle,35,Royal Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Papaya Tree Hotel,107,Executive Room,Indore,INDIA,AB Road,MadhyaPradesh
Madhav Guest House,10,Standard Non AC,Jaipur,INDIA,Bani Park,Rajasthan
OYO Premium Srinagar Colony Extension,15,Standard Room AC,Hyderabad,INDIA,Somajiguda,AndhraPradesh
Gorbandh Palace,83,Deluxe Double Room,Jaisalmer,INDIA,Sam Road,Rajasthan
Hotel Nirmal Excellency,18,Standard Room AC,Hyderabad,INDIA,Nampally,AndhraPradesh
OYO Rooms Sindhi Camp Amber Tower,15,Standard Room AC,Jaipur,INDIA,Bani Park,Rajasthan
OYO Rooms Bani Park Ghiya Marg,15,Standard Room AC,Jaipur,INDIA,Bani Park,Rajasthan
The Park Hyderabad,270,Residence Room,Hyderabad,INDIA,Somajiguda,AndhraPradesh
Hotel Maan Manuhaar,16,Deluxe Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
OYO Apartments Madhapur Near HDFC Bank,15,Standard Room AC,Hyderabad,INDIA,Hitech City,AndhraPradesh
Green Park Hotel,148,Executive Suite,Hyderabad,INDIA,Begumpet,AndhraPradesh
The Arihant Palace,34,Deluxe Ac Room,Jabalpur,INDIA,Russel Chowk,MadhyaPradesh
OYO Apartments Madhapur Indra Meadows Near Dena Bank,15,Standard Room AC,Hyderabad,INDIA,Miyapur,AndhraPradesh
Hotel RDB Palace,14,Deluxe Room Non AC,Jaipur,INDIA,Bani Park,Rajasthan
The Generals Retreat,11,Standard,Jaipur,INDIA,Civil Lines,Rajasthan
Deepak Rest House,15,Suite,Jaisalmer,INDIA,Inside Jaisalmer Fort,Rajasthan
Hotel City Home,20,Deluxe Room,Jaipur,INDIA,Raja Park,Rajasthan
Central Apartment & Hotel,11,Standard Room AC,Indore,INDIA,MG Road,MadhyaPradesh
Hotel Kiran Palace,25,Deluxe Non AC Room,Jaipur,INDIA,Ajmer Road,Rajasthan
Hotel Tip Top Plaza,32,Premium Room,Jaipur,INDIA,Vaishali Nagar,Rajasthan
FabHotel Royal CM Bani Park,28,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Savi Camps Jaisalmer,10,Swiss Camp,Jaisalmer,INDIA,Kanoi Village,Rajasthan
Diggi Palace,70,Heritage Room,Jaipur,INDIA,SMS Stadium-Rambagh Circle,Rajasthan
Tordi Palace - 100 Km From Jaipur,24,Deluxe Room,Jaipur,INDIA,Village Tordi,Rajasthan
Hotel Amar Vilas Indore,45,A/c Deluxe Room,Indore,INDIA,Chandra Nagar,MadhyaPradesh
Urumbi Hill Palace,5,Suite,Idukki,INDIA,Idukki,Kerala
Citrus Hotel Jaipur,32,Superior Room - Twin Bed,Jaipur,INDIA,Tonk Road,Rajasthan
Encasa Guest House,10,Standard Room,Jaipur,INDIA,Airport Zone,Rajasthan
Vista Rooms at Old Royal Palace,22,Standard Room,Jaisalmer,INDIA,Inside Jaisalmer Fort,Rajasthan
Hotel Bienvenue Inn,0,Economy,Indore,INDIA,Vijay Nagar,MadhyaPradesh
The Central Court,76,Superior Room,Hyderabad,INDIA,Lakdi ka Pul,AndhraPradesh
Hotel Glory Palace,20,Standard Room AC,Indore,INDIA,Vijay Nagar,MadhyaPradesh
Shree Ram Guest House,12,Standard Non-AC Room,Jaipur,INDIA,Tonk Road,Rajasthan
Hotel Siddharth Jaipur,40,Super Deluxe Room,Jaipur,INDIA,MI Road,Rajasthan
Sri Supraja Paradise,0,A/C Single,Hyderabad,INDIA,Hitech City,AndhraPradesh
Red Fox Hotel Jaipur,183,Executive Suite,Jaipur,INDIA,Airport Zone,Rajasthan
Mango Hotel Jaipur,47,Deluxe Room,Jaipur,INDIA,Raja Park,Rajasthan
Athithi Inn,40,Premium Room,Hyderabad,INDIA,Ameerpet,AndhraPradesh
Hotel Apano Rajasthan & Holiday Resort,75,Deluxe Room-Old Wing,Jaipur,INDIA,Ambabari,Rajasthan
Hotel Maziz Prime,18,Club Room,Jaipur,INDIA,Lake Jal Mahal,Rajasthan
OYO Premium MI Road,15,Standard Room AC,Jaipur,INDIA,MI Road,Rajasthan
Trident Jaipur,132,Deluxe Lake View,Jaipur,INDIA,Lake Jal Mahal,Rajasthan
OYO Premium Bani Park Collectorate Circle,15,Standard Room AC,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Silver Sands,5,Deluxe Room,Jaipur,INDIA,Jaipur Suburbs,Rajasthan
Resort De Reverie,22,Standard Room AC,Jaipur,INDIA,Ajmer Road,Rajasthan
OYO Rooms Desert View,15,Standard Room AC,Jaisalmer,INDIA,City Centre,Rajasthan
Milan Guest House,12,Semi Deluxe Non Ac Room,Jaipur,INDIA,SMS Stadium-Rambagh Circle,Rajasthan
Hotel Nokha House,3,Standard Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Vista Homes - Hitech City,0,Deluxe Room,Hyderabad,INDIA,Banjara Hills,AndhraPradesh
Hotel Siddharth Residency,40,Luxury Suite Room,Jaipur,INDIA,Jaipur Suburbs,Rajasthan
Hotel RG Inn,32,Deluxe Room,Jaipur,INDIA,,Rajasthan
Hotel City Inn,16,Deluxe Room,Jaipur,INDIA,Raja Park,Rajasthan
OYO Rooms Gopalpura Bypass,15,Standard Room AC,Jaipur,INDIA,Airport Zone,Rajasthan
Hotel Samdareeya Jabalpur,62,AC Deluxe Room,Jabalpur,INDIA,Russel Chowk,MadhyaPradesh
Talai Bagh Palace,11,Deluxe Room AC,Jaipur,INDIA,Amer Fort,Rajasthan
OYO Rooms PU4 Vijaynagar,0,Standard Room AC,Indore,INDIA,Vijay Nagar,MadhyaPradesh
Hyphen Ujjwal Premier,73,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Vaishnavi-A Heritage Hotel,27,Royal Suite Room,Jaipur,INDIA,Bani Park,Rajasthan
Haveli Kalwara Bed And Breakfast,6,Deluxe Ac Room,Jaipur,INDIA,Old City,Rajasthan
Indigo Heritage,16,Deluxe Room,Jaipur,INDIA,Civil Lines,Rajasthan
Hotel Siddharth Palace,20,Deluxe,Jaipur,INDIA,Airport Zone,Rajasthan
RNB 1589 Jaipur,28,Deluxe Room,Jaipur,INDIA,Airport Zone,Rajasthan
Hotel Cosy Home,7,Premium Room,Jaipur,INDIA,Bani Park,Rajasthan
66 Residency-A Boutique Hotel,22,Super Deluxe Room,Jaipur,INDIA,Civil Lines,Rajasthan
Rain Forest Resort,26,Deluxe Room,Igatpuri,INDIA,NH3 Village Balaiduri,Maharashtra
Taj Banjara,122,Superior Room-City View,Hyderabad,INDIA,Banjara Hills,AndhraPradesh
Giri Sadan Homestay,12,Standard Room,Jaipur,INDIA,MI Road,Rajasthan
Vista Rooms at Chhatribagh,13,Standard Room,Indore,INDIA,AB Road,MadhyaPradesh
Hotel Kanak,19,Kanak Deluxe AC,Jabalpur,INDIA,Madan Mahal Station Road,MadhyaPradesh
OYO Rooms Vaishali Nagar Extension 200 FT Byepass,20,Standard Room AC,Jaipur,INDIA,Delhi Ajmer Bypass Road,Rajasthan
Oasis Haveli,7,Deluxe Room,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Hotel Samundra,15,Deluxe Room AC,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Ashirwad Home Stay,3,AC Room,Jaipur,INDIA,Airport Zone,Rajasthan
Hotel Amer View,24,Deluxe Room,Jaipur,INDIA,Amer Fort,Rajasthan
Jagrati Lords Inn,56,Deluxe Room,Jaipur,INDIA,Jaipur Suburbs,Rajasthan
Country Inn & Suites By Carlson Indore,45,Deluxe Room,Indore,INDIA,AB Road,MadhyaPradesh
STARiHOTELS Ajmer Road,12,Standard,Jaipur,INDIA,Ajmer Road,Rajasthan
Chokhi Dhani The Palace Hotel,43,Royal Room,Jaisalmer,INDIA,Union Circle/ Hotel Complex,Rajasthan
Hotel Cube Inn,48,Deluxe Room,Jaipur,INDIA,Lake Jal Mahal,Rajasthan
Hotel Winway,37,Deluxe Room,Indore,INDIA,R.N.T. Marg,MadhyaPradesh
OYO Rooms Railway Station Indore,15,Standard Room AC,Indore,INDIA,MG Road,MadhyaPradesh
Hotel Aditya International,24,Deluxe Room,Jaipur,INDIA,Civil Lines,Rajasthan
Hotel Luna Rosa,12,Double Bed Room,Jaipur,INDIA,Bani Park,Rajasthan
The Lalit Traveller,37,Lalit Traveller Premium (Twin / King),Jaipur,INDIA,Airport Zone,Rajasthan
Hotel Golden Heritage,25,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
M2H Residency,42,Standard Non AC,Iritty,INDIA,Near Iritty Bus Station,Kerala
Hotel Madhuban,20,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
OYO Premium OLD MLA Colony,15,Standard Room AC,Hyderabad,INDIA,Banjara Hills,AndhraPradesh
Jamwai Resort,15,Deluxe Room,Jaisalmer,INDIA,Dabla,Rajasthan
Roadhouse Hostels,8,Air Condi-tioned 6 Beds Mixed Dorm,Jaipur,INDIA,C scheme,Rajasthan
Hotel S-57,14,Executive,Jaipur,INDIA,Airport Zone,Rajasthan
Mangalam Resort,30,Cottage Room,Jaisalmer,INDIA,Khuri Village,Rajasthan
Hotel Kanchan,23,Standard A.C Room,Indore,INDIA,Dr. S.P Marg,MadhyaPradesh
OYO Rooms Sindhi Camp Ganpati Plaza,15,Standard Room AC,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
OYO Rooms Ameerpet Mythrivanam,15,Standard Room AC,Hyderabad,INDIA,Ameerpet,AndhraPradesh
Vista Rooms at Dhenu Market,33,Standard Room,Indore,INDIA,MG Road,MadhyaPradesh
Castle Kalwar,12,Super Deluxe Room,Jaipur,INDIA,Agra Road,Rajasthan
Peppermint Jaipur,60,Studio Room,Jaipur,INDIA,Bani Park,Rajasthan
Anuraag Villa,21,Super Deluxe Studio,Jaipur,INDIA,Bani Park,Rajasthan
Atharva Resort,15,Ethnic Villa,Jaipur,INDIA,Ajmer Road,Rajasthan
OYO Premium Malviya Nagar JLN Marg,10,Standard Room AC,Jaipur,INDIA,Airport Zone,Rajasthan
Hotel Apna Palace - Nearest hotel to IIM,52,Executive Room,Indore,INDIA,Dhar Road,MadhyaPradesh
Hotel O22,27,Deluxe Room AC,Jaipur,INDIA,Vaishali Nagar,Rajasthan
Sujan Rajmahal Palace,13,Sukh Niwas,Jaipur,INDIA,Civil Lines,Rajasthan
Cherry Tree Hotel,19,Executive Room,Indore,INDIA,AB Road,MadhyaPradesh
Hotel Castle Lalpura,38,Executive,Jaipur,INDIA,MI Road,Rajasthan
Hotel Sanj,0,Super Deluxe Room A/C,Jaipur,INDIA,Amer Fort,Rajasthan
Santha Bagh,13,Deluxe Room,Jaipur,INDIA,SMS Stadium-Rambagh Circle,Rajasthan
Hotel Laxmi Niwas,25,Deluxe Room,Jaipur,INDIA,Airport Zone,Rajasthan
Park Hyatt Hyderabad,209,Park King Room,Hyderabad,INDIA,Banjara Hills,AndhraPradesh
OYO Rooms Vaishali Nagar Queens Road,15,Standard Room AC,Jaipur,INDIA,Vaishali Nagar,Rajasthan
OYO Rooms World Trade Park,16,Standard Room AC,Jaipur,INDIA,Airport Zone,Rajasthan
The Grand Hindustan Hotel,10,Super Deluxe Room,Jaipur,INDIA,Raja Park,Rajasthan
OYO Premium 56 Dukkan,15,Standard Room,Indore,INDIA,R.N.T. Marg,MadhyaPradesh
Hotel Saptagiri,81,Standard Room AC,Hyderabad,INDIA,Secunderabad,AndhraPradesh
Hotel Divya Palace,35,Deluxe Room,Indore,INDIA,AB Road,MadhyaPradesh
Pink Pearl Hotel and Fun City,33,Deluxe Room,Jaipur,INDIA,Ajmer Road,Rajasthan
OYO Premium Jaipur Airport,16,Standard Room AC,Jaipur,INDIA,Airport Zone,Rajasthan
OYO Premium Laxmi Mandir Tonk Phatak,15,Standard Room AC,Jaipur,INDIA,Tonk Road,Rajasthan
Hotel Satyam,11,Super Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Vimal Heritage,20,Royal Suite,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Benjamin,53,EXECUTIVE,Itanagar,INDIA,Papu Nallah,ArunachalPradesh
OYO Premium Jorawar Singh Gate Gangapole,15,Standard Room AC,Jaipur,INDIA,Amer Fort,Rajasthan
Hotel Asian Residency,15,A/C Single Room,Hyderabad,INDIA,Nampally,AndhraPradesh
Novotel Hyderabad Airport,305,Superior Queen/ Twin Room,Hyderabad,INDIA,Airport Zone,AndhraPradesh
Mahal Rajwada Resort,27,Super Deluxe Room,Jaipur,INDIA,Vaishali Nagar,Rajasthan
Janak Palace Jaipur,16,Heritage Standard Room,Jaipur,INDIA,Civil Lines,Rajasthan
Hotel Rana Haveli,23,Super Deluxe Room,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Jai Niwas Boutique Hotel,19,AC Value Room,Jaipur,INDIA,MI Road,Rajasthan
OYO Rooms Fortis JLN Marg,15,Standard Room AC,Jaipur,INDIA,Airport Zone,Rajasthan
Hotel Akashdeep,15,Deluxe Room,Jaisalmer,INDIA,City Centre,Rajasthan
OYO Premium Near Russel Chowk Jabalpur,0,Standard Room,Jabalpur,INDIA,Russel Chowk,MadhyaPradesh
Nirwana Hometel-A Sarovar Hotel,82,Superior Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Shantiniketan - Comfort Property,56,Deluxe,Hyderabad,INDIA,Ramoji,AndhraPradesh
OYO Premium Jaipur Railway Station,15,Standard Room AC,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Khandela Haveli,22,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Winds Desert Camp,20,Luxury Tent AC,Jaisalmer,INDIA,Sam Sand Dunes,Rajasthan
Hotel Silver Shed,18,Deluxe Rooms,Indore,INDIA,Vijay Nagar,MadhyaPradesh
Hotel Rahul,30,Luxury Room,Jabalpur,INDIA,Naudra Bridge,MadhyaPradesh
OYO Rooms Near Madan Mahal Fort,15,Standard Room AC,Jabalpur,INDIA,Madan Mahal Station Road,MadhyaPradesh
OYO Premium Secunderabad,15,Standard Room AC,Hyderabad,INDIA,Secunderabad,AndhraPradesh
Achrol Niwas,48,Deluxe Room,Jaipur,INDIA,Village Achrol,Rajasthan
OYO Homes Glass Factory Tonk Road,15,Standard Room AC,Jaipur,INDIA,Tonk Road,Rajasthan
Radisson Blu Indore,200,Superior Room,Indore,INDIA,Ring Road.,MadhyaPradesh
Zone by The Park Jaipur,47,Zone Room,Jaipur,INDIA,Bani Park,Rajasthan
Sajjan Niwas,22,Super Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Maharani Palace,60,Executive Room,Jaipur,INDIA,Bani Park,Rajasthan
OYO Rooms Bani Park District Court,15,Standard Room AC,Jaipur,INDIA,Bani Park,Rajasthan
Flute Boutique Hotel,28,Premiere Room,Jaipur,INDIA,Civil Lines,Rajasthan
OYO Premium Delhi Jaipur Highway,15,Standard Room AC,Jaipur,INDIA,Amer Fort,Rajasthan
Jaipur Ashok,97,Standard Room,Jaipur,INDIA,Bani Park,Rajasthan
The Red Maple Mashal,36,Business Deluxe,Indore,INDIA,AB Road,MadhyaPradesh
Umaid Haveli Hotel & Resort,55,Royal Deluxe,Jaipur,INDIA,Kukas(Delhi-Jaipur NH8),Rajasthan
The Theme,46,Deluxe Room,Jaipur,INDIA,Airport Zone,Rajasthan
OYO Premium Near Jabalpur Railway Station,0,Standard Room,Jabalpur,INDIA,Civil Lines,MadhyaPradesh
Y T Hotel,47,Semi Deluxe Non AC,Itanagar,INDIA,E - Sector,ArunachalPradesh
Hotel Bliss,17,Deluxe,Jaipur,INDIA,Raja Park,Rajasthan
Hotel Landmark,21,Deluxe Room,Jaipur,INDIA,Airport Zone,Rajasthan
Rajputana Haveli Jaipur,21,Deluxe Room,Jaipur,INDIA,Lake Jal Mahal,Rajasthan
Abhiraj Palace Hotel,14,Super Deluxe Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Ramada Jaipur,160,Deluxe Room,Jaipur,INDIA,Raja Park,Rajasthan
OYO Rooms Heritage Hawa Sadak,15,Standard Room AC,Jaipur,INDIA,Civil Lines,Rajasthan
Sapphire Star Inn,27,Silver Rooms,Indore,INDIA,Race Course Road,MadhyaPradesh
Hotel Arena Villas,14,Deluxe,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Jaipur Heritage,22,Family Room A/C,Jaipur,INDIA,Amer Fort,Rajasthan
Naman Bastar,18,Diamond Room,Jagdalpur,INDIA,Palli Village,Chhattisgarh
Narain Niwas Palace,0,Standard Room,Jaipur,INDIA,Tonk Road,Rajasthan
Best Western Ashoka Hitec City,48,Premium Room,Hyderabad,INDIA,Hitech City,AndhraPradesh
STARiHOTELS Geedam Road,0,Luxury,Jagdalpur,INDIA,Moti Taalab Para,Chhattisgarh
Shahpura House,38,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
Desert Moon Guest House,7,Deluxe,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
OYO Premium C Scheme Ahinsa Circle,15,Standard Room AC,Jaipur,INDIA,C scheme,Rajasthan
Hotel Abhinav Palace,30,Standard Room Non AC,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
The Gold Palace & Resort,68,Deluxe Room,Jaipur,INDIA,Kukas(Delhi-Jaipur NH8),Rajasthan
Hotel Royal Haveli,10,Deluxe Double Room,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Hotel Yaiphaba,57,Standard Non AC,Imphal,INDIA,Thangal Bazar,Manipur
OYO Premium Mahal Abids,15,Standard Room AC,Hyderabad,INDIA,Nampally,AndhraPradesh
Rainbow International,32,Standard Room Non AC,Hyderabad,INDIA,Lakdi ka Pul,AndhraPradesh
Hotel Chhavi Aatithya,15,Standard Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Hotel Candy Palace,15,Deluxe Ac Room,Jaipur,INDIA,MI Road,Rajasthan
OYO Elite Aditya Park Ameerpet,15,Standard Room AC,Hyderabad,INDIA,Ameerpet,AndhraPradesh
RnB City Center,18,Deluxe Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Hotel Golden Manor,43,Klub Room,Jaipur,INDIA,Bani Park,Rajasthan
Vista Rooms at Tukoganj,30,Standard Room,Indore,INDIA,South Tukoganj,MadhyaPradesh
Hotel Ramsingh Palace,19,Standard Non A/C Room,Jaipur,INDIA,Bani Park,Rajasthan
Mandawa Haveli,70,Standard Room,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Purohit,30,Semi Deluxe,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
OYO Premium Barat Road Jabalpur,15,Premium Room,Jabalpur,INDIA,Russel Chowk,MadhyaPradesh
Hotel Kohinoor,63,Deluxe Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Hotel Pearl,14,Deluxe Room,Indore,INDIA,Dhar Road,MadhyaPradesh
Hotel Jaisal Palace,0,Deluxe A/C,Jaisalmer,INDIA,City Centre,Rajasthan
Avana-A Boutique Hotel,22,Luxury Room,Jaipur,INDIA,Vaishali Nagar,Rajasthan
Park Prime,83,Superior Room,Jaipur,INDIA,Civil Lines,Rajasthan
OYO Rooms C Scheme,15,Standard Room AC,Jaipur,INDIA,C scheme,Rajasthan
The Manohar Hyderabad,132,Jr. Suite,Hyderabad,INDIA,Begumpet,AndhraPradesh
Deoki Niwas Palace,40,Deluxe Room,Jaisalmer,INDIA,Jethwai Road,Rajasthan
Mystic Valley Spa Resort,90,Deluxe Suite,Igatpuri,INDIA,Mumbai-Nashik-Agra Road,Maharashtra
OYO Rooms Abids Extension,15,Standard Room AC,Hyderabad,INDIA,Nampally,AndhraPradesh
Hotel Dev Villas,15,Deluxe Room,Jaipur,INDIA,Airport Zone,Rajasthan
Hotel Rajawat Manor,0,Deluxe Room,Jaipur,INDIA,Vaishali Nagar,Rajasthan
Hotel Shahi Palace,16,Deluxe,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
VV Pride Hotel,31,Non A/C Deluxe,Hyderabad,INDIA,Chandanagar,AndhraPradesh
Hotel Rajdeep,48,Non AC Room,Jaipur,INDIA,Old City,Rajasthan
The Pearl Jaipur,22,Executive Room,Jaipur,INDIA,Airport Zone,Rajasthan
Bastar Jungle Resort,8,Cottages,Jagdalpur,INDIA,Sargipal,Chhattisgarh
New India Guest House,22,Economic Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
OYO Rooms Navlakha Bus Stand,15,Standard Room,Indore,INDIA,AB Road,MadhyaPradesh
OYO Rooms Vivek Vihar Metro Station,15,Premium Room,Jaipur,INDIA,Sodala,Rajasthan
Golden Tulip Hotel Jaipur,100,Deluxe Room,Jaipur,INDIA,MI Road,Rajasthan
Chirmi Palace,24,Deluxe,Jaipur,INDIA,MI Road,Rajasthan
Hotel Vijay Niwas,38,Deluxe,Jaipur,INDIA,Bani Park,Rajasthan
Hotel Balwas International,39,Deluxe Room,Indore,INDIA,South Tukoganj,MadhyaPradesh
Hotel Titanic,11,Standard Room,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Spirit Desert Camp,20,Swiss Tent,Jaisalmer,INDIA,Sam Sand Dunes,Rajasthan
Hotel Sai Prakash,102,Deluxe Room,Hyderabad,INDIA,Nampally,AndhraPradesh
OYO Rooms Vaishali Nagar,13,Standard Room AC,Jaipur,INDIA,Vaishali Nagar,Rajasthan
Vista Rooms at Head Post Office,20,Superior Room,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Muskan Palace,51,Deluxe Room,Jaipur,INDIA,Bani Park,Rajasthan
OYO Rooms Gajsinghpura Ajmer Road,15,Standard Room AC,Jaipur,INDIA,Ajmer Road,Rajasthan
Hotel Siddhi Vinayak,30,Super Deluxe Room,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Treebo Corporate Inn,24,Deluxe Room,Jaipur,INDIA,Raja Park,Rajasthan
The Wall Street-A Business Hotel,32,Deluxe Room,Jaipur,INDIA,MI Road,Rajasthan
Hotel Welcome,40,Executive Deluxe Ac Room,Jaipur,INDIA,MI Road,Rajasthan
Chandra Vilas Hotel,32,Standard Room AC,Jaipur,INDIA,City Centre-Near Railway Station,Rajasthan
Hotel Aaditya Residency,20,Deluxe Room,Jaipur,INDIA,Airport Zone,Rajasthan
The Palazzo,45,Deluxe Room,Hyderabad,INDIA,Hitech City,AndhraPradesh
Hotel Surya,52,Executive Room,Indore,INDIA,Surya Circle,MadhyaPradesh
OYO Premium Raja Park,10,Standard Room AC,Jaipur,INDIA,Raja Park,Rajasthan
Aroma Classic Hotel,24,Executive Room,Jaipur,INDIA,MI Road,Rajasthan
OYO Rooms Mansarovar Swarn Path,15,Standard Room AC,Jaipur,INDIA,Mansarovar,Rajasthan
OYO Rooms Russel Chowk Jabalpur,15,Standard Room AC,Jabalpur,INDIA,Russel Chowk,MadhyaPradesh
Hotel Ambrosia,27,Executive Room,Indore,INDIA,Vijay Nagar,MadhyaPradesh
OYO Rooms Raja Park Parnami Mandir,10,Standard Room AC,Jaipur,INDIA,Raja Park,Rajasthan
OYO Premium Shyam Nagar,15,Premium Room,Jaipur,INDIA,Ajmer Road,Rajasthan
